CCN,NETWORK,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City,State,Zip,County,dfc_closed,full_address,latitude,longitude
12306,8,CHILDRENS HOSPITAL DIALYSIS,01/01/2015 - 12/31/2018,Not Available,260,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,JEFFERSON,open,"1600 7TH AVENUE SOUTH, BIRMINGHAM, AL 35233",33.504018,-86.805215
12500,8,FMC CAPITOL CITY,01/01/2015 - 12/31/2018,3,1,255 S JACKSON STREET,,MONTGOMERY,AL,36104,MONTGOMERY,open,"255 S JACKSON STREET, MONTGOMERY, AL 36104",32.374048,-86.295939
12501,8,GADSDEN DIALYSIS,01/01/2015 - 12/31/2018,3,1,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,ETOWAH,open,"409 SOUTH FIRST STREET, GADSDEN, AL 35901",34.00675,-86.003132
12502,8,TUSCALOOSA UNIVERSITY DIALYSIS,01/01/2015 - 12/31/2018,4,1,220 15TH STREET,,TUSCALOOSA,AL,35401,TUSCALOOSA,open,"220 15TH STREET, TUSCALOOSA, AL 35401",33.19899,-87.53823
12505,8,PCD MONTGOMERY,01/01/2015 - 12/31/2018,4,1,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,MONTGOMERY,open,"1001 FOREST AVENUE, MONTGOMERY, AL 36106",32.369331,-86.285969
12506,8,DOTHAN DIALYSIS,01/01/2015 - 12/31/2018,5,1,216 GRACELAND DR.,,DOTHAN,AL,36305,HOUSTON,open,"216 GRACELAND DR., DOTHAN, AL 36305",31.2317,-85.45266
12507,8,FMC MOBILE,01/01/2015 - 12/31/2018,5,1,2620 OLD SHELL RD,,MOBILE,AL,36607,MOBILE,open,"2620 OLD SHELL RD, MOBILE, AL 36607",30.692555,-88.102452
12508,8,BIRMINGHAM EAST DIALYSIS,01/01/2015 - 12/31/2018,3,1,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,JEFFERSON,open,"1105 EAST PARK DRIVE, BIRMINGHAM, AL 35235",33.58754,-86.68043
12509,8,FMC NORTH ALABAMA,01/01/2015 - 12/31/2018,4,1,1311 N MEMORIAL PKWY #200,,HUNTSVILLE,AL,35801,MADISON,closed,"1311 N MEMORIAL PKWY #200, HUNTSVILLE, AL 35801",34.819308,-86.571064
12512,8,FMC SELMA,01/01/2015 - 12/31/2018,5,1,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,DALLAS,open,"905 MEDICAL CENTER PARKWAY, SELMA, AL 36701",32.427473,-87.05277
12513,8,FMC LANGDALE,01/01/2015 - 12/31/2018,5,1,8 MEDICAL PARK,,VALLEY,AL,36854,CHAMBERS,open,"8 MEDICAL PARK, VALLEY, AL 36854",32.828959,-85.16881
12515,8,FMC OPELIKA,01/01/2015 - 12/31/2018,5,1,2609 VILLAGE PROFESSIONAL DR,STE 2,OPELIKA,AL,36801,LEE,open,"2609 VILLAGE PROFESSIONAL DR, OPELIKA, AL 36801",32.64788,-85.41282
12516,8,DSI SOUTH DIALYSIS,01/01/2015 - 12/31/2018,4,1,3201 3RD AVE SOUTH,,BIRMINGHAM,AL,35222,JEFFERSON,open,"3201 3RD AVE SOUTH, BIRMINGHAM, AL 35222",33.517861,-86.785307
12517,8,DVA HEALTHCARE RENAL CARE INC,01/01/2015 - 12/31/2018,3,1,15953 ATHENS LIMESTONE DRIVE,,ATHENS,AL,35613,LIMESTONE,open,"15953 ATHENS LIMESTONE DRIVE, ATHENS, AL 35613",34.78607,-86.94523
12519,8,FMC SCOTTSBORO,01/01/2015 - 12/31/2018,4,1,20998 JOHN T. REID HWY,,SCOTTSBORO,AL,35768,JACKSON,open,"20998 JOHN T. REID HWY, SCOTTSBORO, AL 35768",34.634072,-86.060831
12520,8,FRESENIUS KIDNEY CARE TROY,01/01/2015 - 12/31/2018,3,1,606 BOTTS AVE,,TROY,AL,36081,PIKE,open,"606 BOTTS AVE, TROY, AL 36081",31.785028,-85.948606
12521,8,DCI DOTHAN,01/01/2015 - 12/31/2018,4,1,1630 COLUMBIA HWY,,DOTHAN,AL,36303,HOUSTON,open,"1630 COLUMBIA HWY, DOTHAN, AL 36303",31.22062,-85.367447
12522,8,FMC HUNTSVILLE,01/01/2015 - 12/31/2018,4,1,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,MADISON,open,"2325 PANSY STREET, HUNTSVILLE, AL 35801",34.714519,-86.577151
12523,8,PHENIX CITY DIALYSIS,01/01/2015 - 12/31/2018,4,1,4391 RIVERCHASE DRIVE,,PHENIX CITY,AL,36867,RUSSELL,open,"4391 RIVERCHASE DRIVE, PHENIX CITY, AL 36867",32.508348,-85.006759
12524,8,FMC EAST MOBILE,01/01/2015 - 12/31/2018,3,1,1217 GOVERNMENT ST,,MOBILE,AL,36604,MOBILE,open,"1217 GOVERNMENT ST, MOBILE, AL 36604",30.682324,-88.064604
12525,8,FMC WEST MOBILE,01/01/2015 - 12/31/2018,5,1,6601 WALL STREET,SUITE A,MOBILE,AL,36695,MOBILE,open,"6601 WALL STREET, MOBILE, AL 36695",30.670122,-88.19511
12526,8,RCG PRINCETON,01/01/2015 - 12/31/2018,2,1,708 COTTON AVE SW,,BIRMINGHAM,AL,35211,JEFFERSON,open,"708 COTTON AVE SW, BIRMINGHAM, AL 35211",33.497637,-86.843739
12527,8,DCI ENTERPRISE,01/01/2015 - 12/31/2018,4,1,3861 SALEM ROAD,,ENTERPRISE,AL,36330,COFFEE,open,"3861 SALEM ROAD, ENTERPRISE, AL 36330",31.361079,-85.870367
12528,8,FMC CAHABA VALLEY,01/01/2015 - 12/31/2018,5,1,120 CAHABA VALLEY PARKWAY,SUITE 150,PELHAM,AL,35124,SHELBY,open,"120 CAHABA VALLEY PARKWAY, PELHAM, AL 35124",33.337632,-86.783975
12529,8,FLORENCE DIALYSIS,01/01/2015 - 12/31/2018,5,1,422 EAST DR. HICKS BLVD,,FLORENCE,AL,35630,LAUDERDALE,open,"422 EAST DR. HICKS BLVD, FLORENCE, AL 35630",34.799209,-87.669196
12530,8,RAI EAST 11TH ST ANNISTON,01/01/2015 - 12/31/2018,3,1,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,CALHOUN,open,"522 EAST 11TH STREET, ANNISTON, AL 36207",33.658145,-85.822176
12531,8,FMC JACKSON (TOMBIGBEE),01/01/2015 - 12/31/2018,4,1,215 WALKER SPRINGS RD,,JACKSON,AL,36545,CLARKE,open,"215 WALKER SPRINGS RD, JACKSON, AL 36545",31.55919,-87.87432
12532,8,DCI EUFAULA,01/01/2015 - 12/31/2018,5,1,123 A EAST BARBOUR STREET,,EUFAULA,AL,36027,BARBOUR,open,"123 A EAST BARBOUR STREET, EUFAULA, AL 36027",31.891557,-85.140984
12533,8,WALKER COUNTY DIALYSIS,01/01/2015 - 12/31/2018,4,1,260 6TH AVENUE NORTHWEST,,JASPER,AL,35504,WALKER,open,"260 6TH AVENUE NORTHWEST, JASPER, AL 35504",33.851179,-87.282072
12534,8,BESSEMER KIDNEY CENTER,01/01/2015 - 12/31/2018,3,1,975 9TH AVE SW,SUITE 500,BESSEMER,AL,35022,JEFFERSON,open,"975 9TH AVE SW, BESSEMER, AL 35022",33.372797,-86.990364
12535,8,PCD PRATTVILLE,01/01/2015 - 12/31/2018,5,1,600 MCQUEEN SMITH ROAD SOUTH,,PRATTVILLE,AL,36066,AUTAUGA,open,"600 MCQUEEN SMITH ROAD SOUTH, PRATTVILLE, AL 36066",32.459571,-86.418284
12536,8,FMC MONTCLAIR,01/01/2015 - 12/31/2018,5,1,7780 LUDINGTON LANE,,BIRMINGHAM,AL,35210,JEFFERSON,open,"7780 LUDINGTON LANE, BIRMINGHAM, AL 35210",33.53156,-86.716095
12537,8,FMC PRICHARD,01/01/2015 - 12/31/2018,4,1,4016 HWY 45,,WHISTLER,AL,36613,MOBILE,open,"4016 HWY 45, WHISTLER, AL 36613",30.82909,-88.2487
12538,8,RCG ANDALUSIA,01/01/2015 - 12/31/2018,4,1,1208 WEST BYPASS,,ANDALUSIA,AL,36420,COVINGTON,open,"1208 WEST BYPASS, ANDALUSIA, AL 36420",31.291417,-86.503639
12540,8,FMC MONROEVILLE (WHETSTONE),01/01/2015 - 12/31/2018,4,1,676 S ALABAMA AVE,,MONROEVILLE,AL,36460,MONROE,open,"676 S ALABAMA AVE, MONROEVILLE, AL 36460",31.516704,-87.322853
12541,8,FMC DADEVILLE,01/01/2015 - 12/31/2018,5,1,52 WATERWORKS RD,,DADEVILLE,AL,36853,TALLAPOOSA,open,"52 WATERWORKS RD, DADEVILLE, AL 36853",32.837272,-85.767287
12542,8,RAINBOW CITY DIALYSIS,01/01/2015 - 12/31/2018,5,1,2800 RAINBOW DRIVE,,RAINBOW CITY,AL,35906,ETOWAH,open,"2800 RAINBOW DRIVE, RAINBOW CITY, AL 35906",33.96487,-86.027209
12543,8,DEMOPOLIS DIALYSIS,01/01/2015 - 12/31/2018,4,1,511 S CEDAR AVE,,DEMOPOLIS,AL,36732,MARENGO,open,"511 S CEDAR AVE, DEMOPOLIS, AL 36732",32.51227,-87.835231
12544,8,OZARK DIALYSIS,01/01/2015 - 12/31/2018,5,1,195 BUNTING DRIVE,,OZARK,AL,36360,DALE,open,"195 BUNTING DRIVE, OZARK, AL 36360",31.471945,-85.676605
12545,8,TUSCALOOSA DIALYSIS,01/01/2015 - 12/31/2018,3,1,805 OLD MILL STREET,,TUSCALOOSA,AL,35401,TUSCALOOSA,open,"805 OLD MILL STREET, TUSCALOOSA, AL 35401",33.17874,-87.5478
12546,8,FMC TUSKEGEE,01/01/2015 - 12/31/2018,5,1,802 E. MARTIN LUTHER KING HWY,,TUSKEGEE,AL,36083,MACON,open,"802 E. MARTIN LUTHER KING HWY, TUSKEGEE, AL 36083",32.427372,-85.683326
12547,8,FMC EASTERN SHORE,01/01/2015 - 12/31/2018,5,1,124 PROFESSIONAL PARK DR,,FAIRHOPE,AL,36532,BALDWIN,open,"124 PROFESSIONAL PARK DR, FAIRHOPE, AL 36532",30.5178,-87.88424
12548,8,FAYETTE DIALYSIS,01/01/2015 - 12/31/2018,4,1,2450 TEMPLE AVE N,,FAYETTE,AL,35555,FAYETTE,open,"2450 TEMPLE AVE N, FAYETTE, AL 35555",33.72122,-87.81544
12550,8,GREENE COUNTY DIALYSIS,01/01/2015 - 12/31/2018,5,1,544 HIGHWAY 43,,EUTAW,AL,35462,GREENE,open,"544 HIGHWAY 43, EUTAW, AL 35462",32.829352,-87.881982
12551,8,SHEFFIELD DIALYSIS,01/01/2015 - 12/31/2018,5,1,1120 S JACKSON HWY STE 107,,SHEFFIELD,AL,35660,COLBERT,open,"1120 S JACKSON HWY STE 107, SHEFFIELD, AL 35660",34.745961,-87.702041
12552,8,BIO-MEDICAL APPLICATIONS OF ALABAMA INC,01/01/2015 - 12/31/2018,4,1,65 NORTH CATHERINE STREET,,MOBILE,AL,36604,MOBILE,open,"65 NORTH CATHERINE STREET, MOBILE, AL 36604",30.6893,-88.073715
12553,8,PCD ELMORE COUNTY,01/01/2015 - 12/31/2018,5,1,125 HOSPITAL DRIVE,,WETUMPKA,AL,36092,ELMORE,open,"125 HOSPITAL DRIVE, WETUMPKA, AL 36092",32.55196,-86.18829
12556,8,"NNA OF ALABAMA, INC",01/01/2015 - 12/31/2018,4,1,7067 VETERANS PKWY SUITE 120,,PELL CITY,AL,35125,SAINT CLAIR,open,"7067 VETERANS PKWY SUITE 120, PELL CITY, AL 35125",33.604239,-86.30205
12558,8,DCI DECATUR,01/01/2015 - 12/31/2018,4,1,1601 6TH AVENUE SOUTH EAST,,DECATUR,AL,35601,MORGAN,open,"1601 6TH AVENUE SOUTH EAST, DECATUR, AL 35601",34.606109,-86.984928
12559,8,FMC UNIVERSITY SOUTH ALABAMA,01/01/2015 - 12/31/2018,3,1,700 CLINIC DRIVE,,MOBILE,AL,36688,MOBILE,open,"700 CLINIC DRIVE, MOBILE, AL 36688",30.701438,-88.178335
12561,8,FKC ARAB,01/01/2015 - 12/31/2018,4,1,310 SOUTH BRINDLEE MOUNTAIN PARKWAY,,ARAB,AL,35016,MARSHALL,open,"310 SOUTH BRINDLEE MOUNTAIN PARKWAY, ARAB, AL 35016",34.312061,-86.503582
12562,8,DCI PELL CITY,01/01/2015 - 12/31/2018,5,1,62 COGSWELL DRIVE,,PELL CITY,AL,35125,SAINT CLAIR,open,"62 COGSWELL DRIVE, PELL CITY, AL 35125",33.587792,-86.316584
12563,8,DCI CULLMAN,01/01/2015 - 12/31/2018,5,1,1734 EVA ROAD NE,,CULLMAN,AL,35055,CULLMAN,open,"1734 EVA ROAD NE, CULLMAN, AL 35055",34.195613,-86.831871
12565,8,SOUTH BALDWIN DIALYSIS CENTER,01/01/2015 - 12/31/2018,2,1,150 W PEACHTREE AVE,,FOLEY,AL,36535,BALDWIN,closed,"150 W PEACHTREE AVE, FOLEY, AL 36535",30.429092,-87.68472
12566,8,FMC SYLACAUGA,01/01/2015 - 12/31/2018,4,1,314 WEST SPRING STREET,,SYLACAUGA,AL,35150,TALLADEGA,open,"314 WEST SPRING STREET, SYLACAUGA, AL 35150",33.16627,-86.256121
12568,8,FMC PARKWAY,01/01/2015 - 12/31/2018,4,1,1311 N MEMORIAL PKWY STE 100,,HUNTSVILLE,AL,35801,MADISON,open,"1311 N MEMORIAL PKWY STE 100, HUNTSVILLE, AL 35801",34.819308,-86.571064
12570,8,NORTHPORT DIALYSIS,01/01/2015 - 12/31/2018,3,1,2401 HOSPITAL DRIVE,,NORTHPORT,AL,35476,TUSCALOOSA,open,"2401 HOSPITAL DRIVE, NORTHPORT, AL 35476",33.23163,-87.56913
12571,8,DCI GEORGIANA,01/01/2015 - 12/31/2018,4,1,715 MEETING ST,,GEORGIANA,AL,36033,BUTLER,closed,"715 MEETING ST, GEORGIANA, AL 36033",31.63511,-86.74453
12572,8,FMC CAMELLIA,01/01/2015 - 12/31/2018,3,1,350 PAUL STABLER DRIVE,,GREENVILLE,AL,36037,BUTLER,open,"350 PAUL STABLER DRIVE, GREENVILLE, AL 36037",31.85235,-86.645782
12573,8,DCI BIRMINGHAM,01/01/2015 - 12/31/2018,5,1,8713 PARKWAY EAST,,BIRMINGHAM,AL,35206,JEFFERSON,open,"8713 PARKWAY EAST, BIRMINGHAM, AL 35206",33.57726,-86.717441
12574,8,FMC CHAMBERS,01/01/2015 - 12/31/2018,5,1,802 HOSPITAL STREET,,LAFAYETTE,AL,36862,CHAMBERS,closed,"802 HOSPITAL STREET, LAFAYETTE, AL 36862",32.884864,-85.412367
12575,8,RCG WALKER,01/01/2015 - 12/31/2018,3,1,3510 3RD STREET NE,,JASPER,AL,35504,WALKER,open,"3510 3RD STREET NE, JASPER, AL 35504",33.845058,-87.236843
12576,8,DCI MONTGOMERY,01/01/2015 - 12/31/2018,2,1,544 SOUTH MCDONOUGH STREET,,MONTGOMERY,AL,36104,MONTGOMERY,open,"544 SOUTH MCDONOUGH STREET, MONTGOMERY, AL 36104",32.37079,-86.30502
12578,8,RCG SOUTHSIDE,01/01/2015 - 12/31/2018,3,1,2131 MAGNOLIA AVE SOUTH #100,,BIRMINGHAM,AL,35205,JEFFERSON,closed,"2131 MAGNOLIA AVE SOUTH #100, BIRMINGHAM, AL 35205",33.502984,-86.794242
12579,8,FMC DAUPHIN ISLAND PKWY,01/01/2015 - 12/31/2018,4,1,2381 DAUPHIN ISLAND PARKWAY,,MOBILE,AL,36605,MOBILE,open,"2381 DAUPHIN ISLAND PARKWAY, MOBILE, AL 36605",30.62286,-88.08303
12580,8,FMC THOMASVILLE,01/01/2015 - 12/31/2018,3,1,30230 HWY 43,,THOMASVILLE,AL,36784,CLARKE,open,"30230 HWY 43, THOMASVILLE, AL 36784",31.881087,-87.744262
12582,8,FMC WILCOX,01/01/2015 - 12/31/2018,5,1,229 CAMDEN BYPASS,,CAMDEN,AL,36726,WILCOX,open,"229 CAMDEN BYPASS, CAMDEN, AL 36726",32.006113,-87.297356
12583,8,BESSEMER DIALYSIS,01/01/2015 - 12/31/2018,2,1,901 WESTLAKE MALL,STE 101,BESSEMER,AL,35020,JEFFERSON,closed,"901 WESTLAKE MALL, BESSEMER, AL 35020",33.390168,-86.976686
12585,8,ENSLEY DIALYSIS,01/01/2015 - 12/31/2018,3,1,2630 AVENUE E,,BIRMINGHAM,AL,35218,JEFFERSON,open,"2630 AVENUE E, BIRMINGHAM, AL 35218",33.50726,-86.902605
12588,8,SYLACAUGA DIALYSIS,01/01/2015 - 12/31/2018,3,1,331 JAMES PAYTON BLVD,,SYLACAUGA,AL,35150,TALLADEGA,open,"331 JAMES PAYTON BLVD, SYLACAUGA, AL 35150",33.178202,-86.28482
12589,8,BIRMINGHAM NORTH DIALYSIS,01/01/2015 - 12/31/2018,3,1,1917 32ND AVENUE NORTH,,BIRMINGHAM,AL,35207,JEFFERSON,open,"1917 32ND AVENUE NORTH, BIRMINGHAM, AL 35207",33.550818,-86.828229
12590,8,DCI MOULTON,01/01/2015 - 12/31/2018,4,1,1962 MAIN STREET,,MOULTON,AL,35650,LAWRENCE,open,"1962 MAIN STREET, MOULTON, AL 35650",34.497055,-87.282719
12591,8,FMC SHELBY,01/01/2015 - 12/31/2018,3,1,1022 FIRST STREET NORTH,SUITE 101,ALABASTER,AL,35007,SHELBY,open,"1022 FIRST STREET NORTH, ALABASTER, AL 35007",33.255475,-86.812743
12592,8,BIRMINGHAM CENTRAL DIALYSIS,01/01/2015 - 12/31/2018,3,1,728 RICHARD ARRINGTON BLVD S,,BIRMINGHAM,AL,35233,JEFFERSON,open,"728 RICHARD ARRINGTON BLVD S, BIRMINGHAM, AL 35233",33.505593,-86.798158
12593,8,FMC ODYSSEY DIALYSIS,01/01/2015 - 12/31/2018,4,1,40 HUGHES ROAD,,MADISON,AL,35758,MADISON,open,"40 HUGHES ROAD, MADISON, AL 35758",34.689702,-86.736155
12594,8,BOAZ DIALYSIS,01/01/2015 - 12/31/2018,5,1,16 CENTRAL HENDERSON ROAD,,BOAZ,AL,35957,MARSHALL,open,"16 CENTRAL HENDERSON ROAD, BOAZ, AL 35957",34.22576,-86.163
12595,8,RCG FORT PAYNE,01/01/2015 - 12/31/2018,5,1,2202 JORDAN ROAD SW,SUITE 100,FORT PAYNE,AL,35968,DE KALB,open,"2202 JORDAN ROAD SW, FORT PAYNE, AL 35968",34.427528,-85.762236
12596,8,FKC MONTGOMERY,01/01/2015 - 12/31/2018,3,1,3625 MCGEHEE PLACE DRIVE NORTH,,MONTGOMERY,AL,36111,MONTGOMERY,open,"3625 MCGEHEE PLACE DRIVE NORTH, MONTGOMERY, AL 36111",32.33415,-86.24614
12597,8,FMC BAY MINETTE,01/01/2015 - 12/31/2018,4,1,2505 HAND AVENUE,,BAY MINETTE,AL,36507,BALDWIN,open,"2505 HAND AVENUE, BAY MINETTE, AL 36507",30.911211,-87.788031
12598,8,DCI PHENIX CITY,01/01/2015 - 12/31/2018,5,1,1611 21ST COURT,,PHENIX CITY,AL,36867,RUSSELL,open,"1611 21ST COURT, PHENIX CITY, AL 36867",32.476151,-85.023529
12599,8,FMC PORT CITY,01/01/2015 - 12/31/2018,3,1,"201 ST. JOSEPH STREET, SUITE B",,MOBILE,AL,36602,MOBILE,open,"201 ST. JOSEPH STREET, SUITE B, MOBILE, AL 36602",30.695461,-88.043945
12600,8,ATMORE DIALYSIS CENTER,01/01/2015 - 12/31/2018,3,1,807 EAST CRAIG STREET,,ATMORE,AL,36502,ESCAMBIA,open,"807 EAST CRAIG STREET, ATMORE, AL 36502",31.017676,-87.481973
12601,8,FMC WEST,01/01/2015 - 12/31/2018,3,1,633 LOMB AVENUE,,BIRMINGHAM,AL,35211,JEFFERSON,closed,"633 LOMB AVENUE, BIRMINGHAM, AL 35211",33.498582,-86.8429
12602,8,RUSSELLVILLE DIALYSIS,01/01/2015 - 12/31/2018,4,1,14897 HWY 43,,RUSSELLVILLE,AL,35653,FRANKLIN,open,"14897 HWY 43, RUSSELLVILLE, AL 35653",34.50511,-87.717124
