CCN,Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City,State,Zip,County/Parish,dfc_new,full_address,latitude,longitude
12306,8,CHILDRENS HOSPITAL DIALYSIS,01Jan2020-31Dec2023,,260,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,Jefferson,existing,"1600 7TH AVENUE SOUTH, BIRMINGHAM, AL 35233",33.504018,-86.805215
12500,8,FMC CAPITOL CITY,01Jan2020-31Dec2023,1.0,1,255 S JACKSON STREET,,MONTGOMERY,AL,36104,Montgomery,existing,"255 S JACKSON STREET, MONTGOMERY, AL 36104",32.374048,-86.295939
12501,8,DaVita Gadsden Dialysis,01Jan2020-31Dec2023,2.0,1,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,Etowah,existing,"409 SOUTH FIRST STREET, GADSDEN, AL 35901",34.00675,-86.003132
12502,8,DaVita Tuscaloosa University Dialysis,01Jan2020-31Dec2023,1.0,1,220 15TH STREET,,TUSCALOOSA,AL,35401,Tuscaloosa,existing,"220 15TH STREET, TUSCALOOSA, AL 35401",33.19899,-87.53823
12505,8,DaVita PDI-Montgomery,01Jan2020-31Dec2023,3.0,1,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,Montgomery,existing,"1001 FOREST AVENUE, MONTGOMERY, AL 36106",32.369331,-86.285969
12506,8,DaVita Dothan Dialysis,01Jan2020-31Dec2023,3.0,1,216 GRACELAND DR.,,DOTHAN,AL,36305,Houston,existing,"216 GRACELAND DR., DOTHAN, AL 36305",31.2317,-85.45266
12507,8,FMC MOBILE,01Jan2020-31Dec2023,3.0,1,2620 OLD SHELL RD,,MOBILE,AL,36607,Mobile,existing,"2620 OLD SHELL RD, MOBILE, AL 36607",30.692555,-88.102452
12508,8,DaVita Birmingham East Dialysis,01Jan2020-31Dec2023,2.0,1,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,Jefferson,existing,"1105 EAST PARK DRIVE, BIRMINGHAM, AL 35235",33.58754,-86.68043
12512,8,FMC SELMA,01Jan2020-31Dec2023,1.0,1,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,Dallas,existing,"905 MEDICAL CENTER PARKWAY, SELMA, AL 36701",32.427473,-87.05277
12513,8,BMA LANGDALE,01Jan2020-31Dec2023,5.0,1,8 MEDICAL PARK,,VALLEY,AL,36854,Chambers,existing,"8 MEDICAL PARK, VALLEY, AL 36854",32.828959,-85.16881
12515,8,FMC OPELIKA,01Jan2020-31Dec2023,5.0,1,2609 VILLAGE PROFESSIONAL DR,STE 2,OPELIKA,AL,36801,Lee,existing,"2609 VILLAGE PROFESSIONAL DR, OPELIKA, AL 36801",32.64788,-85.41282
12516,8,FRESENIUS KIDNEY CARE SOUTH AVENUE,01Jan2020-31Dec2023,2.0,1,3201 3rd AVE SOUTH,,BIRMINGHAM,AL,35222,Jefferson,existing,"3201 3rd AVE SOUTH, BIRMINGHAM, AL 35222",33.517861,-86.785307
12517,8,DaVita Athens Dialysis,01Jan2020-31Dec2023,1.0,1,15953 Athens Limestone Drive,,ATHENS,AL,35613,Limestone,existing,"15953 Athens Limestone Drive, ATHENS, AL 35613",34.78607,-86.94523
12519,8,FMC SCOTTSBORO,01Jan2020-31Dec2023,3.0,1,20998 JOHN T. REID HWY,,SCOTTSBORO,AL,35768,Jackson,existing,"20998 JOHN T. REID HWY, SCOTTSBORO, AL 35768",34.634072,-86.060831
