CMS Certification Number (CCN),Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Certification Date,Claims Date,EQRS Date,SMR Date,Patient Survival Category Text,Patient Survival data availability code,Number of Patients included in survival summary,Mortality Rate (Facility),Mortality Rate: Upper Confidence Limit (97.5%),Mortality Rate: Lower Confidence Limit (2.5%),SHR Date,Patient hospitalization category text,Patient Hospitalization data availability Code,Number of patients included in hospitalization summary,Hospitalization Rate (Facility),Hospitalization Rate: Upper Confidence Limit (97.5%),Hospitalization Rate: Lower Confidence Limit (2.5%),SRR Date,Patient Hospital Readmission Category,Patient Hospital Readmission data availability Code,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Readmission Rate: Upper Confidence Limit (97.5%),Readmission Rate: Lower Confidence Limit (2.5%),STrR Date,Patient Transfusion category text,Patient Transfusion data availability Code,Number of patients included in the transfusion summary,Transfusion Rate (Facility),Transfusion Rate: Upper Confidence Limit (97.5%),Transfusion Rate: Lower Confidence Limit (2.5%),SWR Date,SWR category text,Patient transplant waitlist data availability code,Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,95% C.I. (upper limit) for SWR,95% C.I. (lower limit) for SWR,PPPW category text,Patient prevalent transplant waitlist data availability code,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted,95% C.I. (upper limit) for PPPW,95% C.I. (lower limit) for PPPW,SEDR Date,SEDR category text,Emergency Department Encounter data availability Code,Number of patients included in SEDR summary,Standardized ED visits ratio (Facility),SEDR: Upper Confidence Limit (97.5%),SEDR: Lower Confidence Limit (2.5%),ED30 Date,ED30 Category text,Emergency Department Encounter Ratio Occurring within 30 Days of Hospital Discharge data availability Code,Number of hospitalizations included in ED30 summary,Standardized ED visits within 30 days of hospital discharge ratio (Facility),ED30: Upper Confidence Limit (97.5%),ED30: Lower Confidence Limit (2.5%),YEARS Modality Switch BASED UPON,SMoSR: Classification Category (FACILITY),Modality Switch Data Availability Code,SMoSR: Number of Eligible patients (FACILITY),SMoSR: Standardized Modality Switch Ratio (FACILITY),SMoSR: Upper Confidence Limit (FACILITY),SMoSR: Lower Confidence Limit (FACILITY),SIR Date,Patient Infection category text,Patient Infection Data Availability Code,Standard Infection Ratio,SIR: Upper Confidence Limit (97.5%),SIR: Lower Confidence Limit (2.5%),Fistula Category Text,Fistula data availability code,Number of Patients included in fistula summary,Fistula Rate (Facility),Fistula Rate: Upper Confidence Limit (97.5%),Fistula Rate: Lower Confidence Limit (2.5%),HCP Vaccination Data Collection Dates,HCP Vaccination Data Availability Code,Healthcare worker COVID-19 vaccination adherence percentage,Adult HD Kt/V data availability code,Number of adult HD patients with KT/V data,Number of adult HD patient-months with Kt/V data,Percent of Adult HD patients with Kt/V >= 1.2,Adult PD Kt/V data availability code,Number of adult PD patients with KT/V data,Number of adult PD patient-months with Kt/V data,Percentage of Adult PD PTS with Kt/V >= 1.7,Pediatric HD Kt/V Data Availability Code,Number of pediatric HD patients with Kt/V data,Number of pediatric HD patient-months with KT/V data,Percentage of Pediatric HD patients with Kt/V >= 1.2,Pediatric PD Kt/V Data Availability Code,Number of pediatric PD patients with Kt/V data,Number of pediatric PD patient-months with KT/V data,Percentage of pediatric PD patients with Kt/V>=1.8,Percentage of Medicare patients with Hgb<10 g/dL,HGB<10 data availability code,Percentage of Medicare patients with Hgb>12 g/dL,Hgb > 12 data availability code,Number of Dialysis Patients with Hgb data,Hypercalcemia Data Availability Code,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Serum phosphorus Data Availability Code,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary,Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Long term catheter Data Availability Code,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Percentage of Adult patients with long term catheter in use,nPCR Data Availability Code,Number of patients in nPCR summary,Number of patient-months in nPCR summary,Percentage of pediatric HD patients with nPCR,dfc_new,full_address,latitude,longitude,census_tract
12306,8,CHILDRENS HOSPITAL DIALYSIS,01Jan2020-31Dec2023,,260,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,Jefferson,(205) 638-9275,Non-profit,No,Independent,No,7,Yes,Yes,Yes,17NOV1982,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,Not Available,199,64,,,,01Jan2023-31Dec2023,Worse than Expected,1,18,255.5,391.9,176.7,01Jan2023-31Dec2023,As Expected,1,63,37.4,53.5,23.9,01Jan2023-31Dec2023,Not Available,201,0,,,,01Jan2020-31Dec2022,As Expected,1,50,1.32,2.09,0.78,As Expected,1,44,20.6,42.1,8.5,01Jan2023-31Dec2023,Not Available,201,0,,,,01Jan2022-31Dec2023,Not Available,199,0,,,,01Jan2020-31Dec2022,Not Available,201,0,,,,01Jan2023-31Dec2023,As Expected,1,0.86,2.33,0.22,Not Available,199,1,,,,01APR2024-30JUN2024,201,,201,0,,,199,2,14,,1,20,147,99,1,19,137,78,25,1,0,1,12,199,2,17,,199,3,17,,,,,,199,1,5,,1,24,175,99,existing,"1600 7TH AVENUE SOUTH, BIRMINGHAM, AL 35233",33.504018,-86.805215,1073004502
12500,8,FMC CAPITOL CITY,01Jan2020-31Dec2023,1,1,255 S JACKSON STREET,,MONTGOMERY,AL,36104,Montgomery,(334) 263-1028,Profit,Yes,Fresenius Medical Care,No,28,Yes,Yes,Yes,01SEP1976,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,457,26,40.1,17.3,01Jan2023-31Dec2023,As Expected,1,110,139,220.6,93.5,01Jan2023-31Dec2023,As Expected,1,71,27.7,43.5,15.1,01Jan2023-31Dec2023,As Expected,1,42,51.1,122,26.2,01Jan2020-31Dec2022,Worse than Expected,1,44,0,0.99,0,As Expected,1,101,8.3,24.3,2.5,01Jan2023-31Dec2023,As Expected,1,49,0.58,1.55,0.27,01Jan2022-31Dec2023,As Expected,1,54,0.84,1.84,0.26,01Jan2020-31Dec2022,As Expected,1,73,0.66,1.53,0.21,01Jan2023-31Dec2023,Better than Expected,1,0.12,0.59,0.01,As Expected,1,121,43,61.8,22.9,01APR2024-30JUN2024,1,0,1,110,942,97,201,0,,,259,0,,,259,0,,,8,1,0,1,26,1,110,950,1,1,120,989,8,23,27,26,16,1,121,996,16,259,0,,,existing,"255 S JACKSON STREET, MONTGOMERY, AL 36104",32.374048,-86.295939,1101000600
12501,8,DaVita Gadsden Dialysis,01Jan2020-31Dec2023,2,1,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,Etowah,(256) 547-2511,Profit,Yes,DaVita,No,24,Yes,No,No,01SEP1976,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,181,29.1,46.5,17.6,01Jan2023-31Dec2023,As Expected,1,66,179.4,283.4,122.4,01Jan2023-31Dec2023,As Expected,1,66,29,41.6,18.2,01Jan2023-31Dec2023,Not Available,199,18,,,,01Jan2020-31Dec2022,Not Available,199,20,,,,As Expected,1,63,14.9,44.6,3.6,01Jan2023-31Dec2023,As Expected,1,28,0.28,1.39,0.06,01Jan2022-31Dec2023,As Expected,1,46,0.97,2.03,0.35,01Jan2020-31Dec2022,As Expected,1,31,0.73,2.64,0.09,01Jan2023-31Dec2023,As Expected,1,0.62,1.49,0.2,As Expected,1,82,45,71.2,17,01APR2024-30JUN2024,1,4,1,82,443,98,257,0,,,259,0,,,259,0,,,45,1,9,1,11,1,83,445,0,1,80,452,6,17,29,30,19,1,82,460,12,259,0,,,existing,"409 SOUTH FIRST STREET, GADSDEN, AL 35901",34.00675,-86.003132,1055001200
12502,8,DaVita Tuscaloosa University Dialysis,01Jan2020-31Dec2023,1,1,220 15TH STREET,,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 345-6004,Profit,Yes,DaVita,No,23,Yes,Yes,No,21OCT1977,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,388,26.3,41.1,17.3,01Jan2023-31Dec2023,As Expected,1,91,160.1,254.1,107.7,01Jan2023-31Dec2023,As Expected,1,92,23.3,32.6,15.5,01Jan2023-31Dec2023,As Expected,1,34,57.1,141.6,28.4,01Jan2020-31Dec2022,Worse than Expected,1,49,0,0.77,0,As Expected,1,84,4.3,18.9,0.9,01Jan2023-31Dec2023,As Expected,1,35,0.6,1.3,0.3,01Jan2022-31Dec2023,As Expected,1,90,1.16,1.75,0.66,01Jan2020-31Dec2022,As Expected,1,57,0.87,2.03,0.28,01Jan2023-31Dec2023,Better than Expected,1,0,0.31,,Worse than Expected,1,96,34.3,53.3,14,01APR2024-30JUN2024,1,2,1,88,837,98,1,13,77,99,259,0,,,259,0,,,38,1,0,1,21,1,103,945,2,1,108,950,6,20,22,24,28,1,96,898,11,259,0,,,existing,"220 15TH STREET, TUSCALOOSA, AL 35401",33.19899,-87.53823,1125012002
12505,8,DaVita PDI-Montgomery,01Jan2020-31Dec2023,3,1,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,Montgomery,(334) 269-9416,Profit,Yes,DaVita,No,19,Yes,Yes,Yes,14DEC1977,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,359,25.6,38.9,17.2,01Jan2023-31Dec2023,As Expected,1,89,127.6,223.5,78.9,01Jan2023-31Dec2023,Better than Expected,1,62,13.1,26.5,4.7,01Jan2023-31Dec2023,As Expected,1,35,23,103.9,7.2,01Jan2020-31Dec2022,As Expected,1,42,0.24,1.32,0.01,As Expected,1,92,7.2,26.7,1.6,01Jan2023-31Dec2023,As Expected,1,37,0.64,1.68,0.27,01Jan2022-31Dec2023,As Expected,1,33,0.97,2.39,0.23,01Jan2020-31Dec2022,As Expected,1,46,0.26,1.43,0.01,01Jan2023-31Dec2023,Better than Expected,1,0.18,0.89,0.01,As Expected,1,77,65.3,86.3,42.8,01APR2024-30JUN2024,1,0,1,71,613,97,1,29,268,97,259,0,,,259,0,,,10,1,0,1,21,1,100,892,1,1,106,939,6,21,26,28,19,1,77,663,14,259,0,,,existing,"1001 FOREST AVENUE, MONTGOMERY, AL 36106",32.369331,-86.285969,1101000600
12506,8,DaVita Dothan Dialysis,01Jan2020-31Dec2023,3,1,216 GRACELAND DR.,,DOTHAN,AL,36305,Houston,(334) 793-4077,Profit,Yes,DaVita,No,27,Yes,Yes,Yes,28NOV1977,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,282,30.2,44.2,21,01Jan2023-31Dec2023,As Expected,1,56,142.9,232.9,95,01Jan2023-31Dec2023,As Expected,1,50,20,33.6,10.3,01Jan2023-31Dec2023,Not Available,199,15,,,,01Jan2020-31Dec2022,As Expected,1,31,0.47,2.61,0.01,As Expected,1,60,9.8,37,2,01Jan2023-31Dec2023,As Expected,1,21,1.15,2.28,0.6,01Jan2022-31Dec2023,As Expected,1,42,0.71,1.65,0.23,01Jan2020-31Dec2022,As Expected,1,49,1.83,3.77,0.74,01Jan2023-31Dec2023,Better than Expected,1,0,0.57,,As Expected,1,72,58.5,81.3,34.2,01APR2024-30JUN2024,1,0,1,64,508,100,201,0,,,259,0,,,259,0,,,13,1,0,1,15,1,65,528,0,1,71,559,6,27,37,18,11,1,72,563,9,259,0,,,existing,"216 GRACELAND DR., DOTHAN, AL 36305",31.2317,-85.45266,1069040204
12507,8,FMC MOBILE,01Jan2020-31Dec2023,3,1,2620 OLD SHELL RD,,MOBILE,AL,36607,Mobile,(251) 476-2762,Profit,Yes,Fresenius Medical Care,No,24,Yes,No,No,04JAN1979,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,409,24.3,38.1,15.9,01Jan2023-31Dec2023,As Expected,1,101,186.7,293.7,126.5,01Jan2023-31Dec2023,As Expected,1,83,33.4,50.5,20,01Jan2023-31Dec2023,As Expected,1,31,29.9,115.1,10.6,01Jan2020-31Dec2022,As Expected,1,28,1.35,3.93,0.28,As Expected,1,85,18.6,39.9,7.3,01Jan2023-31Dec2023,As Expected,1,34,0.78,1.91,0.35,01Jan2022-31Dec2023,As Expected,1,36,1.12,2.7,0.3,01Jan2020-31Dec2022,As Expected,1,52,0.2,1.1,0,01Jan2023-31Dec2023,As Expected,1,0.3,1,0.05,As Expected,1,110,56.7,75.7,36.3,01APR2024-30JUN2024,1,0,1,106,1042,99,257,0,,,259,0,,,259,0,,,60,1,0,1,15,1,107,1044,1,1,108,1052,10,24,30,24,12,1,110,1060,7,259,0,,,existing,"2620 OLD SHELL RD, MOBILE, AL 36607",30.692555,-88.102452,1097002700
12508,8,DaVita Birmingham East Dialysis,01Jan2020-31Dec2023,2,1,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 833-6003,Profit,Yes,DaVita,No,16,Yes,No,No,28JUN1979,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,192,29.6,46.9,18.1,01Jan2023-31Dec2023,As Expected,1,47,155.1,261.3,100.3,01Jan2023-31Dec2023,As Expected,1,48,26.1,39.7,14.9,01Jan2023-31Dec2023,Not Available,199,19,,,,01Jan2020-31Dec2022,As Expected,1,22,0,1.46,0,As Expected,1,53,10.8,40.1,2.1,01Jan2023-31Dec2023,As Expected,1,25,0.92,2.08,0.42,01Jan2022-31Dec2023,As Expected,1,35,1.79,3.19,0.78,01Jan2020-31Dec2022,As Expected,1,35,1.06,2.71,0.29,01Jan2023-31Dec2023,As Expected,1,1.14,2.53,0.42,As Expected,1,61,50,76.7,21.5,01APR2024-30JUN2024,1,4,1,58,488,97,257,0,,,259,0,,,259,0,,,18,1,0,1,11,1,58,488,0,1,62,524,2,15,19,30,33,1,61,516,5,259,0,,,existing,"1105 EAST PARK DRIVE, BIRMINGHAM, AL 35235",33.58754,-86.68043,1073005903
12512,8,FMC SELMA,01Jan2020-31Dec2023,1,1,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,Dallas,(334) 874-9021,Profit,Yes,Fresenius Medical Care,No,26,Yes,No,No,25AUG1980,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,279,29,43.8,19.5,01Jan2023-31Dec2023,Worse than Expected,1,65,209.2,316.8,145,01Jan2023-31Dec2023,As Expected,1,88,35.2,46,25.6,01Jan2023-31Dec2023,Worse than Expected,1,22,70.6,168.6,36.2,01Jan2020-31Dec2022,As Expected,1,28,0,1.28,0,As Expected,1,57,9.6,37.5,1.9,01Jan2023-31Dec2023,As Expected,1,22,1.1,2.4,0.53,01Jan2022-31Dec2023,As Expected,1,52,0.57,1.45,0.13,01Jan2020-31Dec2022,Worse than Expected,1,40,0,0.94,0,01Jan2023-31Dec2023,As Expected,1,0.43,1.42,0.07,As Expected,1,72,56,79.3,31.1,01APR2024-30JUN2024,1,0,1,64,575,95,199,5,27,,259,0,,,259,0,,,21,1,0,1,14,1,74,631,1,1,76,662,10,22,26,21,21,1,72,624,14,259,0,,,existing,"905 MEDICAL CENTER PARKWAY, SELMA, AL 36701",32.427473,-87.05277,1047956800
12513,8,BMA LANGDALE,01Jan2020-31Dec2023,5,1,8 MEDICAL PARK,,VALLEY,AL,36854,Chambers,(334) 756-4192,Profit,Yes,Fresenius Medical Care,No,19,Yes,No,No,12FEB1981,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,300,15.6,24.8,9.9,01Jan2023-31Dec2023,As Expected,1,78,99.4,186.3,57.9,01Jan2023-31Dec2023,As Expected,1,38,12.7,30,3.6,01Jan2023-31Dec2023,As Expected,1,35,30,93.8,12.5,01Jan2020-31Dec2022,Not Available,199,20,,,,As Expected,1,63,9.3,34.5,1.9,01Jan2023-31Dec2023,As Expected,1,39,1.03,2.11,0.55,01Jan2022-31Dec2023,As Expected,1,24,1.6,3.43,0.42,01Jan2020-31Dec2022,As Expected,1,35,0.62,2.25,0.08,01Jan2023-31Dec2023,Better than Expected,1,0,0.9,,Better than Expected,1,84,84.1,99,68.2,01APR2024-30JUN2024,1,0,1,82,707,94,257,0,,,259,0,,,259,0,,,37,1,0,1,19,1,82,709,0,1,85,714,7,25,28,23,17,1,84,732,6,259,0,,,existing,"8 MEDICAL PARK, VALLEY, AL 36854",32.828959,-85.16881,1017954600
